Experiment,Condition,Mean_Accuracy,Std_Accuracy,N_Repeats
frequency_analysis,delta,0.4933333333333333,0.0,1
frequency_analysis,theta,0.5844444444444444,0.0,1
frequency_analysis,alpha,0.6103703703703703,0.0,1
frequency_analysis,beta,0.8659259259259258,0.0,1
frequency_analysis,gamma,0.8674074074074075,0.0,1
frequency_analysis,all_5_bands,0.8644444444444446,0.0,1
channel_analysis,4_channels,0.3437037037037037,0.0,1
channel_analysis,6_channels,0.3533333333333333,0.0,1
channel_analysis,9_channels,0.3644444444444444,0.0,1
channel_analysis,12_channels,0.3577777777777778,0.0,1
channel_analysis,62_channels,0.8644444444444446,0.0,1
classifier_comparison,svm,0.8644444444444446,0.0,1
classifier_comparison,logistic,0.8770370370370371,0.0,1
classifier_comparison,knn,0.5577777777777777,0.0,1
classifier_comparison,dbn,0.8762962962962962,0.0,1
feature_comparison,psd,0.8496296296296296,0.0,1
feature_comparison,de,0.8644444444444446,0.0,1
feature_comparison,dasm,0.8303703703703704,0.0,1
feature_comparison,rasm,0.843703703703704,0.0,1
feature_comparison,dcau,0.514074074074074,0.0,1
feature_comparison,combined_asym,0.8325925925925927,0.0,1
